Province_State,Country_Region,Confirmed,Deaths,Recovered,Active,Combined_Key,Incidence_Rate,Case-Fatality_Ratio
Abruzzo,Italy,3287,462,2543,282,"Abruzzo, Italy",250.6137636,14.05536964
Acre,Brazil,13146,361,6270,6515,"Acre, Brazil",1490.586041,2.746082459
Adygea Republic,Russia,1847,12,1291,544,"Adygea Republic, Russia",407.3881282,0.64970222
Aguascalientes,Mexico,2257,140,1772,345,"Aguascalientes, Mexico",157.3222457,6.202924236
Aichi,Japan,522,34,477,11,"Aichi, Japan",6.91185753,6.513409962
Akita,Japan,16,0,16,0,"Akita, Japan",1.655474966,0
Alagoas,Brazil,35117,1032,25512,8573,"Alagoas, Brazil",1052.239841,2.938747615
Alberta,Canada,8067,154,7354,559,"Alberta, Canada",182.7947682,1.909012024
Altai Krai,Russia,3909,31,2766,1112,"Altai Krai, Russia",166.3347631,0.793041699
Altai Republic,Russia,617,0,279,338,"Altai Republic, Russia",282.9457542,0
Amapa,Brazil,28253,413,12929,14911,"Amapa, Brazil",3340.660328,1.461791668
Amazonas,Brazil,69893,2792,56634,10467,"Amazonas, Brazil",1686.364199,3.994677579
Amazonas,Colombia,2259,89,1894,276,"Amazonas, Colombia",2949.509721,3.93979637
Amazonas,Peru,2052,43,0,2009,"Amazonas, Peru",480.787254,2.095516569
Amur Oblast,Russia,1682,9,704,969,"Amur Oblast, Russia",210.6650101,0.535077289
Ancash,Peru,7874,468,0,7406,"Ancash, Peru",666.949009,5.943611887
Andalusia,Spain,13080,1426,10671,983,"Andalusia, Spain",155.2079199,10.90214067
Andaman and Nicobar Islands,India,90,0,46,44,"Andaman and Nicobar Islands, India",21.58087072,0
Andhra Pradesh,India,13891,180,6232,7479,"Andhra Pradesh, India",25.7701774,1.295803038
Anguilla,United Kingdom,3,0,3,0,"Anguilla, United Kingdom",19.99733369,0
Anhui,China,991,6,985,0,"Anhui, China",1.567046173,0.605449041
Antioquia,Colombia,4089,27,1521,2541,"Antioquia, Colombia",63.81980496,0.660308144
Antofagasta,Chile,8625,147,6616,1862,"Antofagasta, Chile",1419.673631,1.704347826
Aomori,Japan,30,1,26,3,"Aomori, Japan",2.406987967,3.333333333
Apurimac,Peru,554,18,0,536,"Apurimac, Peru",128.6278152,3.249097473
Aragon,Spain,6319,912,3772,1635,"Aragon, Spain",478.4996963,14.4326634
Arauca,Colombia,76,0,3,73,"Arauca, Colombia",28.98838176,0
Araucania,Chile,3212,41,2880,291,"Araucania, Chile",335.5536426,1.276463263
Arequipa,Peru,7076,245,0,6831,"Arequipa, Peru",472.5524242,3.46240814
Arica y Parinacota,Chile,1685,20,1299,366,"Arica y Parinacota, Chile",745.3509563,1.18694362
Arkhangelsk Oblast,Russia,5454,54,2549,2851,"Arkhangelsk Oblast, Russia",472.196345,0.99009901
Aruba,Netherlands,103,3,98,2,"Aruba, Netherlands",96.47265984,2.912621359
Arunachal Pradesh,India,187,1,61,125,"Arunachal Pradesh, India",11.90735442,0.534759358
Assam,India,7752,11,5333,2408,"Assam, India",21.77097624,0.141898865
Astrakhan Oblast,Russia,3448,30,2322,1096,"Astrakhan Oblast, Russia",338.8651164,0.870069606
Asturias,Spain,2435,334,1063,1038,"Asturias, Spain",238.2105351,13.71663244
Atacama,Chile,1006,2,689,315,"Atacama, Chile",348.1643502,0.198807157
Atlantico,Colombia,22049,1117,6686,14246,"Atlantico, Colombia",869.6056859,5.065989387
Australian Capital Territory,Australia,108,3,105,0,"Australian Capital Territory, Australia",25.22775053,2.777777778
Ayacucho,Peru,1747,25,0,1722,"Ayacucho, Peru",261.4486681,1.431024614
Aysen,Chile,42,0,28,14,"Aysen, Chile",40.71424417,0
Azad Jammu and Kashmir,Pakistan,1065,28,539,498,"Azad Jammu and Kashmir, Pakistan",26.32641892,2.629107981
Baden-Wurttemberg,Germany,35630,1830,33300,500,"Baden-Wurttemberg, Germany",321.8744639,5.136121246
Bahia,Brazil,69467,1800,43946,23721,"Bahia, Brazil",467.0658312,2.591158392
Baja California,Mexico,8755,1899,6362,494,"Baja California, Mexico",240.8615664,21.69046259
Baja California Sur,Mexico,1487,70,1167,250,"Baja California Sur, Mexico",184.7875254,4.707464694
Baleares,Spain,2206,224,1533,449,"Baleares, Spain",185.655855,10.15412511
Balochistan,Pakistan,10426,119,4197,6110,"Balochistan, Pakistan",84.45929525,1.141377326
Bashkortostan Republic,Russia,5315,18,2870,2427,"Bashkortostan Republic, Russia",130.805236,0.338664158
Basilicata,Italy,402,27,372,3,"Basilicata, Italy",71.41981527,6.71641791
Bayern,Germany,48344,2594,45100,650,"Bayern, Germany",369.6951246,5.365712395
Beijing,China,919,9,586,324,"Beijing, China",4.266480966,0.979325354
Belgorod Oblast,Russia,4464,42,3294,1128,"Belgorod Oblast, Russia",288.0230418,0.940860215
Berlin,Germany,8219,214,7272,733,"Berlin, Germany",225.497733,2.603723081
Bermuda,United Kingdom,146,9,135,2,"Bermuda, United Kingdom",234.4515279,6.164383562
Bihar,India,9640,62,7390,2188,"Bihar, India",7.724363555,0.643153527
Biobio,Chile,6595,50,4523,2022,"Biobio, Chile",423.6240248,0.758150114
Blekinge,Sweden,444,12,0,432,"Blekinge, Sweden",278.1850306,2.702702703
Bolivar,Colombia,8792,352,4134,4306,"Bolivar, Colombia",424.7117303,4.003639672
"Bonaire, Sint Eustatius and Saba",Netherlands,7,0,7,0,"Bonaire, Sint Eustatius and Saba, Netherlands",26.69615957,0
Boyaca,Colombia,355,16,213,126,"Boyaca, Colombia",29.16108088,4.507042254
Brandenburg,Germany,3451,171,3200,80,"Brandenburg, Germany",137.3851126,4.955085482
Bremen,Germany,1665,53,1533,79,"Bremen, Germany",243.7824494,3.183183183
British Columbia,Canada,2904,174,2577,153,"British Columbia, Canada",56.81954921,5.991735537
British Virgin Islands,United Kingdom,8,1,7,0,"British Virgin Islands, United Kingdom",26.45765122,12.5
Bryansk Oblast,Russia,6147,34,4415,1698,"Bryansk Oblast, Russia",507.6045722,0.553115341
Buryatia Republic,Russia,2886,19,1965,902,"Buryatia Republic, Russia",293.1404525,0.658350658
C. Valenciana,Spain,11541,1432,9970,139,"C. Valenciana, Spain",231.981345,12.40793692
Cajamarca,Peru,2091,67,0,2024,"Cajamarca, Peru",143.8398569,3.204208513
Calabria,Italy,1180,97,1057,26,"Calabria, Italy",60.60198312,8.220338983
Caldas,Colombia,254,8,165,81,"Caldas, Colombia",25.44440048,3.149606299
Callao,Peru,17944,619,0,17325,"Callao, Peru",1588.105142,3.449621043
Campania,Italy,4666,431,4073,162,"Campania, Italy",80.424814,9.237033862
Campeche,Mexico,1859,196,1452,211,"Campeche, Mexico",185.7853704,10.54330285
Canarias,Spain,2427,162,1537,728,"Canarias, Spain",109.9732158,6.674907293
Cantabria,Spain,2362,216,2287,-141,"Cantabria, Spain",406.0924178,9.144792549
Capital District,Colombia,27927,665,11955,15307,"Capital District, Colombia",376.7521261,2.38120815
Caqueta,Colombia,35,2,22,11,"Caqueta, Colombia",8.717548924,5.714285714
Casanare,Colombia,66,0,36,30,"Casanare, Colombia",15.69545117,0
Castilla - La Mancha,Spain,18120,3025,6392,8703,"Castilla - La Mancha, Spain",890.4715125,16.69426049
Castilla y Leon,Spain,19665,2784,8716,8165,"Castilla y Leon, Spain",816.7433848,14.15713196
Catalonia,Spain,61417,5669,26203,29545,"Catalonia, Spain",811.7036949,9.23034339
Cauca,Colombia,352,14,148,190,"Cauca, Colombia",24.03570395,3.977272727
Cayman Islands,United Kingdom,199,1,189,9,"Cayman Islands, United Kingdom",302.7997565,0.502512563
Ceara,Brazil,108225,6076,83670,18479,"Ceara, Brazil",1185.108143,5.614229614
Cesar,Colombia,946,23,376,547,"Cesar, Colombia",78.79564275,2.431289641
Ceuta,Spain,163,4,163,-4,"Ceuta, Spain",192.151269,2.45398773
Chandigarh,India,435,6,349,80,"Chandigarh, India",37.54942929,1.379310345
Channel Islands,United Kingdom,571,47,512,12,"Channel Islands, United Kingdom",334.8993249,8.23117338
Chechen Republic,Russia,1708,22,1180,506,"Chechen Republic, Russia",118.860305,1.288056206
Chelyabinsk Oblast,Russia,7058,88,3675,3295,"Chelyabinsk Oblast, Russia",202.0591829,1.246812128
Cherkasy Oblast,Ukraine,642,24,454,164,"Cherkasy Oblast, Ukraine",53.21834193,3.738317757
Chernihiv Oblast,Ukraine,535,10,145,380,"Chernihiv Oblast, Ukraine",53.19439818,1.869158879
Chernivtsi Oblast,Ukraine,4745,182,1889,2674,"Chernivtsi Oblast, Ukraine",524.6723148,3.835616438
Chhattisgarh,India,2761,13,2173,575,"Chhattisgarh, India",9.379597544,0.470843897
Chiapas,Mexico,4383,519,3571,293,"Chiapas, Mexico",76.48724768,11.84120465
Chiba,Japan,961,45,868,48,"Chiba, Japan",15.35295337,4.682622268
Chihuahua,Mexico,3007,635,2272,100,"Chihuahua, Mexico",79.10062562,21.11739275
Choco,Colombia,1421,42,412,967,"Choco, Colombia",265.6938892,2.955665025
Chongqing,China,582,6,573,3,"Chongqing, China",1.876208897,1.030927835
Chukotka Autonomous Okrug,Russia,138,1,125,12,"Chukotka Autonomous Okrug, Russia",279.6465916,0.724637681
Chuvashia Republic,Russia,5025,31,2882,2112,"Chuvashia Republic, Russia",408.1659176,0.616915423
Ciudad de Mexico,Mexico,47437,6456,37550,3431,"Ciudad de Mexico, Mexico",525.9881058,13.60962961
Coahuila,Mexico,4270,214,3039,1017,"Coahuila, Mexico",132.6614306,5.011709602
Colima,Mexico,542,69,343,130,"Colima, Mexico",69.03113151,12.73062731
Coquimbo,Chile,2961,23,2263,675,"Coquimbo, Chile",390.8467158,0.776764607
Cordoba,Colombia,642,40,200,402,"Cordoba, Colombia",35.97075947,6.230529595
Crimea Republic*,Ukraine,681,10,478,193,"Crimea Republic*, Ukraine",35.58493853,1.468428781
Cundinamarca,Colombia,2633,61,1352,1220,"Cundinamarca, Colombia",90.20026995,2.316748956
Curacao,Netherlands,23,1,19,3,"Curacao, Netherlands",14.015844,4.347826087
Cusco,Peru,1775,19,0,1756,"Cusco, Peru",130.793604,1.070422535
Dadra and Nagar Haveli and Daman and Diu,India,203,0,77,126,"Dadra and Nagar Haveli and Daman and Diu, India",32.96931742,0
Dagestan Republic,Russia,7775,373,5682,1720,"Dagestan Republic, Russia",253.7627881,4.797427653
Dalarna,Sweden,1623,157,0,1466,"Dalarna, Sweden",563.6082037,9.673444239
Delhi,India,85161,2680,56235,26246,"Delhi, India",455.1405858,3.146980425
Diamond Princess,Canada,0,1,0,-1,"Diamond Princess, Canada",,0
Diamond Princess,US,49,0,0,49,"Diamond Princess, US",,0
Distrito Federal,Brazil,47071,559,30957,15555,"Distrito Federal, Brazil",1561.088434,1.187567717
Dnipropetrovsk Oblast,Ukraine,1087,23,913,151,"Dnipropetrovsk Oblast, Ukraine",33.90013401,2.115915363
Donetsk Oblast,Ukraine,481,9,163,309,"Donetsk Oblast, Ukraine",11.54612172,1.871101871
Durango,Mexico,1787,139,1251,397,"Durango, Mexico",95.6128317,7.778399552
Ehime,Japan,82,4,77,1,"Ehime, Japan",6.122989961,4.87804878
Emilia-Romagna,Italy,28472,4255,23185,1032,"Emilia-Romagna, Italy",638.460519,14.94450688
England,United Kingdom,160391,39036,0,121355,"England, United Kingdom",286.5291583,24.33802395
Espirito Santo,Brazil,45097,1621,26751,16725,"Espirito Santo, Brazil",1122.192776,3.594474134
Extremadura,Spain,3027,519,2652,-144,"Extremadura, Spain",284.1122408,17.1456888
Falkland Islands (Malvinas),United Kingdom,13,0,13,0,"Falkland Islands (Malvinas), United Kingdom",373.2414585,0
Faroe Islands,Denmark,187,0,187,0,"Faroe Islands, Denmark",382.6869948,0
French Guiana,France,3774,15,1352,2407,"French Guiana, France",1263.551202,0.39745628
French Polynesia,France,62,0,60,2,"French Polynesia, France",22.07159741,0
Friuli Venezia Giulia,Italy,3308,345,2927,36,"Friuli Venezia Giulia, Italy",272.2140847,10.42926239
Fujian,China,363,1,357,5,"Fujian, China",0.921086019,0.275482094
Fukui,Japan,122,8,114,0,"Fukui, Japan",15.88671987,6.557377049
Fukuoka,Japan,842,33,798,11,"Fukuoka, Japan",16.49790279,3.919239905
Fukushima,Japan,82,0,80,2,"Fukushima, Japan",4.44319457,0
Galicia,Spain,9206,619,9204,-617,"Galicia, Spain",340.9072814,6.723875733
Gansu,China,164,2,143,19,"Gansu, China",0.621918847,1.219512195
Gavleborg,Sweden,2226,131,0,2095,"Gavleborg, Sweden",774.5787836,5.884995508
Gibraltar,United Kingdom,177,0,176,1,"Gibraltar, United Kingdom",525.3628565,0
Gifu,Japan,156,7,146,3,"Gifu, Japan",7.85266389,4.487179487
Gilgit-Baltistan,Pakistan,1470,24,1117,329,"Gilgit-Baltistan, Pakistan",145.0299137,1.632653061
Goa,India,1198,3,478,717,"Goa, India",75.52403467,0.250417362
Goias,Brazil,23007,437,0,22570,"Goias, Brazil",327.8119058,1.899421915
Gotland,Sweden,154,7,0,147,"Gotland, Sweden",258.0169554,4.545454545
Grand Princess,Canada,13,0,13,0,"Grand Princess, Canada",,0
Grand Princess,US,103,3,0,100,"Grand Princess, US",,2.912621359
Greenland,Denmark,13,0,13,0,"Greenland, Denmark",22.89861199,0
Guadeloupe,France,182,14,157,11,"Guadeloupe, France",45.48555834,7.692307692
Guainia,Colombia,14,1,2,11,"Guainia, Colombia",29.09755996,7.142857143
Guam,US,253,5,0,248,"Guam, US",154.0531818,1.976284585
Guanajuato,Mexico,6995,348,5289,1358,"Guanajuato, Mexico",112.3121942,4.97498213
Guangdong,China,1641,8,1627,6,"Guangdong, China",1.446324696,0.487507617
Guangxi,China,254,2,252,0,"Guangxi, China",0.515631344,0.787401575
Guaviare,Colombia,37,0,6,31,"Guaviare, Colombia",44.70380707,0
Guerrero,Mexico,5311,865,3986,460,"Guerrero, Mexico",145.2264231,16.28695161
Guizhou,China,147,2,145,0,"Guizhou, China",0.408333333,1.360544218
Gujarat,India,31938,1827,23240,6871,"Gujarat, India",50.0028189,5.720458388
Gunma,Japan,152,19,131,2,"Gunma, Japan",7.825145074,12.5
Hainan,China,171,6,165,0,"Hainan, China",1.830835118,3.50877193
Halland,Sweden,1442,71,0,1371,"Halland, Sweden",431.9330953,4.92371706
Hamburg,Germany,5200,259,4900,41,"Hamburg, Germany",282.427727,4.980769231
Haryana,India,14210,232,9502,4476,"Haryana, India",50.38168827,1.632653061
Hebei,China,349,6,334,9,"Hebei, China",0.461884595,1.719197708
Heilongjiang,China,947,13,934,0,"Heilongjiang, China",2.509939041,1.372756072
Henan,China,1276,22,1254,0,"Henan, China",1.328474753,1.724137931
Hessen,Germany,10762,506,9900,356,"Hessen, Germany",171.7575496,4.701728303
Hidalgo,Mexico,3782,643,2726,413,"Hidalgo, Mexico",122.5370284,17.00158646
Himachal Pradesh,India,942,9,556,377,"Himachal Pradesh, India",12.64097811,0.955414013
Hiroshima,Japan,165,3,162,0,"Hiroshima, Japan",5.884079357,1.818181818
Hokkaido,Japan,1241,99,1048,94,"Hokkaido, Japan",23.63787462,7.97743755
Hong Kong,China,1203,7,1105,91,"Hong Kong, China",16.04644425,0.581878637
Huancavelica,Peru,890,11,0,879,"Huancavelica, Peru",243.6353682,1.235955056
Huanuco,Peru,2299,58,0,2241,"Huanuco, Peru",302.3806392,2.522836016
Hubei,China,68135,4512,63623,0,"Hubei, China",115.1512591,6.622147208
Huila,Colombia,325,14,244,67,"Huila, Colombia",29.53509041,4.307692308
Hunan,China,1019,4,1015,0,"Hunan, China",1.477025656,0.392541708
Hyogo,Japan,705,43,654,8,"Hyogo, Japan",12.89746606,6.09929078
Ibaraki,Japan,174,10,157,7,"Ibaraki, Japan",6.08326309,5.747126437
Ica,Peru,7407,470,0,6937,"Ica, Peru",759.5365053,6.345348994
Ingushetia Republic,Russia,3020,68,2449,503,"Ingushetia Republic, Russia",618.7979338,2.251655629
Inner Mongolia,China,238,1,237,0,"Inner Mongolia, China",0.939226519,0.420168067
Irkutsk Oblast,Russia,7043,56,2534,4453,"Irkutsk Oblast, Russia",292.9462876,0.795115718
Ishikawa,Japan,300,27,252,21,"Ishikawa, Japan",26.37017217,9
Islamabad,Pakistan,12775,128,7261,5386,"Islamabad, Pakistan",636.657942,1.001956947
Isle of Man,United Kingdom,336,24,312,0,"Isle of Man, United Kingdom",395.145357,7.142857143
Ivano-Frankivsk Oblast,Ukraine,2350,101,1096,1153,"Ivano-Frankivsk Oblast, Ukraine",171.1266395,4.29787234
Ivanovo Oblast,Russia,4621,43,2869,1709,"Ivanovo Oblast, Russia",455.4297755,0.930534516
Jalisco,Mexico,6497,662,4893,942,"Jalisco, Mexico",77.25609009,10.18931815
Jammu and Kashmir,India,7237,95,4585,2557,"Jammu and Kashmir, India",53.18851828,1.312698632
Jamtland Harjedalen,Sweden,1032,48,0,984,"Jamtland Harjedalen, Sweden",788.9305099,4.651162791
Jewish Autonomous Okrug,Russia,424,5,345,74,"Jewish Autonomous Okrug, Russia",261.7057785,1.179245283
Jharkhand,India,2426,15,1845,566,"Jharkhand, India",6.285959654,0.618301731
Jiangsu,China,654,0,653,1,"Jiangsu, China",0.812321451,0
Jiangxi,China,932,1,931,0,"Jiangxi, China",2.005163511,0.107296137
Jilin,China,155,2,153,0,"Jilin, China",0.573224852,1.290322581
Jonkoping,Sweden,3963,169,0,3794,"Jonkoping, Sweden",1089.936991,4.264446127
Junin,Peru,3821,135,0,3686,"Junin, Peru",280.6463459,3.533106517
Kabardino-Balkarian Republic,Russia,4958,53,3296,1609,"Kabardino-Balkarian Republic, Russia",572.6310537,1.068979427
Kagawa,Japan,28,0,28,0,"Kagawa, Japan",2.927807584,0
Kagoshima,Japan,11,0,10,1,"Kagoshima, Japan",0.686524706,0
Kaliningrad Oblast,Russia,2436,37,1409,990,"Kaliningrad Oblast, Russia",244.9228282,1.518883415
Kalmar,Sweden,614,51,0,563,"Kalmar, Sweden",250.1568573,8.306188925
Kalmykia Republic,Russia,1481,23,1041,417,"Kalmykia Republic, Russia",537.73787,1.553004727
Kaluga Oblast,Russia,5973,44,3507,2422,"Kaluga Oblast, Russia",590.1847329,0.736648251
Kamchatka Krai,Russia,2145,28,870,1247,"Kamchatka Krai, Russia",679.7504096,1.305361305
Kanagawa,Japan,1469,96,1304,69,"Kanagawa, Japan",15.97039791,6.535057862
Karachay-Cherkess Republic,Russia,3448,12,1382,2054,"Karachay-Cherkess Republic, Russia",739.4302013,0.348027842
Karelia Republic,Russia,1266,3,491,772,"Karelia Republic, Russia",203.3787214,0.236966825
Karnataka,India,14295,226,7683,6386,"Karnataka, India",21.15812862,1.580972368
Kemerovo Oblast,Russia,1622,9,713,900,"Kemerovo Oblast, Russia",60.18827575,0.55487053
